Assay.ID,Gene,Target.Control,T1D_MZ4_25d,T1D_DS3_31d,T1D_DS7_38d,T1D_DS8_31d,T1D_DS9_38d,T1D_MZ4_32d,T1D_DS3_38d,T1D_DS7_73d,T1D_DS8_70d,T1D_DS9_84d,T1D_MZ4_39d,T1D_DS3_52d,T1D_DS7_98d,T1D_DS8_84d,T1D_DS9_91d
Mm00607939_s1,Actb,Endogenous Control,15.833,13.7822,13.0453,13.1402,13.1796,14.016,15.1755,13.0922,13.0866,12.9915,13.212,13.314,13.0353,13.1826,13.1554
Mm00437762_m1,B2m,Endogenous Control,14.291,13.202,12.4449,12.6979,12.5799,13.275,14.5853,12.5301,12.7928,12.7,12.347,12.8235,12.5328,12.7613,12.7697
Mm00432448_m1,Cdkn1a,Endogenous Control,20.392,18.9137,18.8393,18.5721,18.7442,18.67,20.5807,18.4463,18.7012,18.9806,18.225,18.7711,18.5306,18.8389,18.8213
Mm99999915_g1,Gapdh,Endogenous Control,16.425,15.0024,14.7738,14.7599,14.8293,14.956,13.7699,14.5648,15.0485,14.9349,15.056,15.2507,14.8491,15.0321,14.5662
Mm00446953_m1,Gusb,Endogenous Control,18.806,16.7004,16.0751,15.8846,16.3762,16.756,20.1331,16.5712,16.2913,16.6196,15.845,16.3448,15.9755,16.3919,16.6272
Mm00660262_g1,Hmbs,Endogenous Control,23.213,21.8033,21.5362,21.3415,21.5791,21.968,22.2566,21.143,21.4086,21.8343,21.27,21.5511,21.2678,21.6362,21.7527
Mm00446968_m1,Hprt1,Endogenous Control,21.207,19.6395,19.1036,19.2642,19.4769,19.217,20.5677,19.2406,19.2395,19.2979,18.495,19.4407,18.6213,19.2933,19.4967
Mm01255158_m1,Ipo8,Endogenous Control,23.381,21.5415,20.7429,20.7178,21.0593,21.403,22.312,20.7673,21.1586,21.0679,20.82,21.382,20.8265,21.0791,21.1534
Mm00435617_m1,Pgk1,Endogenous Control,19.306,17.9309,17.3795,17.3974,17.0752,17.782,18.0529,17.4297,17.8336,17.1983,17.542,17.8718,17.3007,17.7908,16.7386
Mm00839493_m1,Polr2a,Endogenous Control,20.275,18.6761,18.6898,18.6906,18.6649,18.898,19.7763,18.3444,18.3033,18.279,18.155,18.5316,18.057,18.3959,18.6306
Mm02342430_g1,Ppia,Endogenous Control,17.324,15.9409,15.6047,15.4044,15.5481,16.158,17.3096,15.4984,15.7058,15.8335,15.675,15.5812,15.5016,15.8336,15.8973
Mm00782638_s1,Rplp2,Endogenous Control,27.928,26.2086,25.6051,25.5315,26.024,25.765,27.4537,24.9228,25.7836,25.9982,25.06,26.2054,25.0994,25.9916,26.1075
Mm00446973_m1,Tbp,Endogenous Control,23.324,21.3827,21.2167,21.4496,21.3065,21.355,22.3441,21.0764,21.216,21.6427,20.974,21.409,20.8997,21.3149,21.5268
Mm00441941_m1,Tfrc,Endogenous Control,21.057,19.7732,18.6242,18.8124,19.2188,19.671,21.3599,18.2057,18.7688,19.6602,18.23,18.6741,18.8377,19.1227,20.1697
Mm01201237_m1,Ubc,Endogenous Control,18.943,16.6803,16.7348,16.8735,16.6716,17.38,17.6229,16.5295,16.7002,16.7786,16.536,16.7486,16.5295,16.6953,16.7987
